state_ut,count_post_office
Andaman & Nicobar Islands,22
Andhra Pradesh,1214
Arunachal Pradesh,49
Assam,571
Bihar,862
Chandigarh,28
Chattisgarh,272
Dadra & Nagar Haveli,4
Daman & Diu,6
Delhi,98
Goa,88
Gujarat,1022
Haryana,314
Himachal Pradesh,434
Jammu & Kashmir,213
Jharkhand,378
Karnataka,1343
Kerala,1418
Lakshadweep,9
Madhya Pradesh,769
Maharashtra,1583
Manipur,52
Meghalaya,65
Mizoram,41
Nagaland,42
Odisha,922
Pondicherry,33
Punjab,523
Rajasthan,992
Sikkim,19
Tamil Nadu,2020
Telangana,665
Tripura,80
Uttar Pradesh,1644
Uttarakhand,296
West Bengal,1147
